game,winner,reason,plies,red_total_time_ms,black_total_time_ms
1,Black,no_legal_moves,118,319.217,90095.399
2,Black,no_legal_moves,124,273.358,94421.776
3,Red,long_check,80,284.861,61231.942
4,Black,no_legal_moves,28,111.965,21446.587
5,Black,no_legal_moves,62,119.515,47302.151
6,Black,no_legal_moves,36,185.706,27631.039
7,Red,long_check,82,245.133,62580.564
8,Red,long_check,80,264.736,61560.993
9,Black,no_legal_moves,142,406.686,108235.78
10,Black,no_legal_moves,128,281.21,97678.757
11,Black,no_legal_moves,36,171.582,27596.057
12,Black,no_legal_moves,80,341.479,61303.01
13,Black,no_legal_moves,104,352.344,79719.411
14,Black,no_legal_moves,104,297.707,79454.075
15,Black,no_legal_moves,20,99.49,15346.639
16,Black,no_legal_moves,126,254.521,96234.847
17,Black,no_legal_moves,68,319.081,51951.6
18,Black,no_legal_moves,66,235.521,50443.57
19,Black,no_legal_moves,80,203.21,60821.221
20,Black,no_legal_moves,80,262.908,61207.452
