game,winner,reason,plies,red_total_time_ms,black_total_time_ms
1,Red,no_legal_moves,79,33263.073,239.069
2,Black,long_check,61,25700.64,200.906
3,Red,no_legal_moves,147,61039.576,263.817
4,Black,long_check,191,79216.955,267.596
5,Red,no_legal_moves,57,24059.588,131.351
6,Red,no_legal_moves,171,70607.206,199.079
7,Red,no_legal_moves,85,35394.574,233.696
8,Black,long_check,69,29028.299,197.637
9,Red,no_legal_moves,31,13297.773,165.069
10,Red,no_legal_moves,69,28947.052,199.904
11,Red,no_legal_moves,31,13394.891,111.991
12,Black,long_check,117,48944.843,356.039
13,Black,long_check,71,29740.824,181.364
14,Black,long_check,119,49603.383,260.299
15,Red,no_legal_moves,79,32924.766,297.937
16,Red,no_legal_moves,59,24950.111,198.488
17,Red,no_legal_moves,69,28863.137,171.873
18,Red,no_legal_moves,83,34619.647,222.105
19,Red,no_legal_moves,73,30715.464,178.223
20,Red,no_legal_moves,15,6635.878,65.609
