game,winner,reason,plies,red_total_time_ms,black_total_time_ms
1,Red,long_chase,86,32335.015,33746.807
2,Red,no_legal_moves,185,66486.839,66814.296
3,Red,no_legal_moves,129,50126.672,50763.734
4,Black,no_legal_moves,130,49529.408,51708.102
5,Black,no_legal_moves,72,26704.859,27950.574
6,Red,no_legal_moves,37,13858.155,13956.96
7,Red,no_legal_moves,21,6527.476,6600.341
8,Black,no_legal_moves,96,36438.502,38063.364
9,Red,no_legal_moves,145,56497.446,56872.701
10,Red,long_check,114,44451.267,45908.804
11,Black,no_legal_moves,44,15429.751,16658.764
12,Red,no_legal_moves,39,13862.428,14041.019
13,Red,long_check,92,35536.645,36975.562
14,Black,no_legal_moves,112,43638.048,45388.572
15,Black,no_legal_moves,60,22634.445,23900.082
16,Black,no_legal_moves,94,35513.611,37070.026
17,Red,no_legal_moves,39,13884.856,13978.25
18,Red,no_legal_moves,37,13071.574,13209.791
19,Red,long_check,60,21942.008,22896.426
20,Draw,move_limit,300,116188.306,121187.844
