game,winner,reason,plies,red_total_time_ms,black_total_time_ms
1,Black,no_legal_moves,38,184.589,28743.75
2,Black,no_legal_moves,56,172.008,42461.274
3,Black,no_legal_moves,60,132.702,45367.05
4,Black,no_legal_moves,38,156.988,28757.441
5,Black,no_legal_moves,40,140.735,30294.313
6,Black,no_legal_moves,42,223.45,31794.046
7,Black,no_legal_moves,36,121.699,27228.072
8,Black,no_legal_moves,88,205.391,66602.36
9,Black,no_legal_moves,40,154.397,30230.601
10,Black,no_legal_moves,74,175.841,56052.58
11,Black,no_legal_moves,42,165.251,31755.812
12,Black,no_legal_moves,42,153.807,31770.682
13,Black,no_legal_moves,92,219.97,69571.14
14,Black,no_legal_moves,70,126.465,53000.916
15,Black,no_legal_moves,14,46.473,10595.497
16,Black,no_legal_moves,48,183.71,36447.064
17,Black,no_legal_moves,58,197.172,44004.666
18,Black,no_legal_moves,106,266.422,80062.113
19,Black,no_legal_moves,104,277.842,78599.974
20,Black,no_legal_moves,98,333.465,74067.696
