game,winner,reason,plies,red_total_time_ms,black_total_time_ms
1,Black,no_legal_moves,76,111.267,29307.307
2,Black,no_legal_moves,142,339.713,55925.39
3,Black,no_legal_moves,116,339.08,45376.649
4,Black,no_legal_moves,84,108.654,33430.75
5,Black,no_legal_moves,72,260.369,27648.824
6,Black,no_legal_moves,18,69.309,5716.136
7,Black,no_legal_moves,78,295.131,29999.773
8,Black,no_legal_moves,44,191.718,16234.116
9,Black,no_legal_moves,78,231.931,30006.434
10,Black,no_legal_moves,42,132.544,15425.785
11,Black,no_legal_moves,28,117.261,9783.453
12,Black,no_legal_moves,74,189.734,28546.579
13,Black,no_legal_moves,108,219.674,42277.665
14,Black,no_legal_moves,56,80.334,21251.309
15,Black,no_legal_moves,46,159.636,17178.197
16,Black,no_legal_moves,54,151.903,20398.789
17,Black,no_legal_moves,122,281.931,47999.289
18,Black,no_legal_moves,44,144.003,16251.954
19,Black,no_legal_moves,48,161.795,18742.537
20,Black,no_legal_moves,94,257.915,36390.952
