game,winner,reason,plies,red_total_time_ms,black_total_time_ms
1,Black,no_legal_moves,94,120.853,13986.061
2,Black,no_legal_moves,154,352.469,23290.397
3,Black,no_legal_moves,124,342.015,18543.535
4,Black,no_legal_moves,82,108.59,12474.856
5,Black,no_legal_moves,96,304.756,14402.152
6,Black,no_legal_moves,18,64.498,2218.648
7,Black,no_legal_moves,148,353.865,22449.901
8,Black,no_legal_moves,108,221.468,16229.939
9,Black,no_legal_moves,106,256.465,15723.71
10,Black,no_legal_moves,42,141.591,5905.155
11,Black,no_legal_moves,158,800.99,24177.338
12,Black,no_legal_moves,104,258.044,15527.026
13,Black,no_legal_moves,120,390.197,18299.649
14,Black,no_legal_moves,78,109.136,11535.381
15,Black,no_legal_moves,156,233.455,23763.277
16,Black,no_legal_moves,46,142.24,6605.565
17,Black,no_legal_moves,118,227.123,17927.279
18,Black,no_legal_moves,84,165.564,12414.087
19,Black,no_legal_moves,118,619.745,18394.026
20,Black,no_legal_moves,90,194.585,13265.663
