game,winner,reason,plies,red_total_time_ms,black_total_time_ms
1,Red,no_legal_moves,99,40800.579,39707.542
2,Red,no_legal_moves,81,33804.492,32339.086
3,Draw,move_limit,300,121134.833,121387.827
4,Red,no_legal_moves,39,16643.927,15562.705
5,Red,no_legal_moves,55,23067.369,21886.894
6,Black,long_check,95,39431.271,37885.282
7,Red,no_legal_moves,67,28175.102,26669.445
8,Red,no_legal_moves,147,60198.396,58758.176
9,Red,no_legal_moves,77,32170.912,30707.537
10,Black,long_check,241,98553.068,96599.64
11,Black,long_check,105,43501.35,42059.548
12,Red,no_legal_moves,59,24561.53,23418.751
13,Red,no_legal_moves,101,42058.264,40326.037
14,Red,no_legal_moves,47,19689.99,18613.919
15,Black,no_legal_moves,36,14705.863,14660.498
16,Red,no_legal_moves,157,64853.688,63010.692
17,Black,long_check,101,41870.736,40448.036
18,Red,no_legal_moves,113,46574.266,45234.101
19,Red,no_legal_moves,65,27326.65,25883.014
20,Red,no_legal_moves,83,34612.742,32616.874
