game,winner,reason,plies,red_total_time_ms,black_total_time_ms
1,Red,no_legal_moves,37,5309.143,4916.931
2,Red,no_legal_moves,53,7842.441,7426.627
3,Black,long_chase,127,19039.416,18747.964
4,Black,long_chase,83,12254.587,11920.521
5,Red,no_legal_moves,73,11479.108,10817.618
6,Black,long_check,89,13666.919,13011.497
7,Black,long_check,131,19920.126,19339.077
8,Black,no_legal_moves,24,3266.29,3506.097
9,Red,no_legal_moves,79,11951.572,11398.186
10,Red,no_legal_moves,153,23574.275,22558.545
11,Red,no_legal_moves,197,29696.685,29245.518
12,Black,long_check,161,25001.964,23987.784
13,Draw,move_limit,300,18442.048,17729.053
14,Red,no_legal_moves,167,25658.526,24765.206
15,Red,no_legal_moves,47,6962.716,6494.614
16,Black,long_check,119,18470.385,17561.977
17,Black,long_chase,123,18701.769,18342.931
18,Red,no_legal_moves,107,16568.446,15621.295
19,Red,no_legal_moves,61,9440.716,8902.902
20,Red,no_legal_moves,113,17182.668,16470.694
