game,winner,reason,plies,red_total_time_ms,black_total_time_ms
1,Black,no_legal_moves,34,123.671,12470.213
2,Black,no_legal_moves,86,264.021,33850.675
3,Black,no_legal_moves,80,188.561,31399.865
4,Black,no_legal_moves,66,144.844,26339.289
5,Black,no_legal_moves,90,461.51,35601.847
6,Black,no_legal_moves,90,247.954,35706.208
7,Black,no_legal_moves,72,201.834,28139.66
8,Black,no_legal_moves,68,393.774,26606.661
9,Black,no_legal_moves,100,429.049,40252.475
10,Black,no_legal_moves,162,255.753,65096.916
11,Black,no_legal_moves,108,380.005,43086.743
12,Black,no_legal_moves,16,77.079,5005.551
13,Black,no_legal_moves,92,344.61,36455.983
14,Black,no_legal_moves,82,279.837,32242.424
15,Red,long_check,34,143.948,12514.249
16,Black,no_legal_moves,52,160.084,20010.338
17,Red,long_check,114,288.373,45544.376
18,Black,no_legal_moves,66,226.291,25829.512
19,Black,no_legal_moves,54,144.091,21656.038
20,Black,no_legal_moves,48,193.676,18363.677
