game,winner,reason,plies,red_total_time_ms,black_total_time_ms
1,Black,long_check,77,12798.763,328.47
2,Red,no_legal_moves,117,19339.811,233.617
3,Red,no_legal_moves,43,7318.914,225.584
4,Red,no_legal_moves,105,17542.706,332.68
5,Red,no_legal_moves,17,2976.72,71.815
6,Red,no_legal_moves,67,11154.117,273.149
7,Red,no_legal_moves,133,21970.858,389.512
8,Red,no_legal_moves,41,7051.196,172.977
9,Red,no_legal_moves,101,16868.391,371.99
10,Red,no_legal_moves,69,11449.953,204.653
11,Red,no_legal_moves,93,15492.39,270.86
12,Red,no_legal_moves,115,18685.234,256.845
13,Red,no_legal_moves,87,14473.036,245.904
14,Red,no_legal_moves,175,28033.368,202.328
15,Black,long_chase,109,18129.949,299.336
16,Red,no_legal_moves,115,19113.539,294.379
17,Red,no_legal_moves,99,16045.504,178.71
18,Red,no_legal_moves,65,11074.278,232.816
19,Red,no_legal_moves,75,12546.341,287.281
20,Red,no_legal_moves,75,12628.464,336.075
