game,winner,reason,plies,red_total_time_ms,black_total_time_ms
1,Red,long_check,94,14418.685,15025.901
2,Red,long_chase,132,20172.558,20808.406
3,Red,long_check,156,23776.803,24987.439
4,Black,no_legal_moves,52,8129.185,8564.203
5,Black,no_legal_moves,60,9268.286,9670.18
6,Red,long_chase,86,13233.352,13628.787
7,Red,no_legal_moves,57,8980.295,8889.2
8,Black,no_legal_moves,46,7055.866,7415.318
9,Red,long_check,54,8291.366,8787.993
10,Black,no_legal_moves,68,10403.405,11062.687
11,Red,long_check,158,24017.826,24944.112
12,Black,no_legal_moves,80,12206.53,12767.696
13,Black,no_legal_moves,58,8948.95,9436.863
14,Red,long_check,182,27738.271,28595.647
15,Red,no_legal_moves,37,6002.915,6075.19
16,Black,no_legal_moves,46,7033.693,7491.62
17,Black,no_legal_moves,92,14052.658,14571.568
18,Red,long_check,172,26137.462,27513.727
19,Black,no_legal_moves,92,14071.437,14838.801
20,Red,long_chase,74,11334.984,11787.601
