game,winner,reason,plies,red_total_time_ms,black_total_time_ms
1,Red,no_legal_moves,69,26705.655,215.326
2,Red,no_legal_moves,57,21804.196,168.675
3,Black,long_check,89,35006.763,427.358
4,Red,no_legal_moves,39,14070.508,150.113
5,Draw,move_limit,300,121272.521,277.362
6,Red,no_legal_moves,111,44133.187,439.814
7,Red,no_legal_moves,75,29054.67,329.371
8,Red,no_legal_moves,77,30647.84,304.689
9,Red,no_legal_moves,121,48176.913,247.91
10,Black,long_check,37,13358.406,116.476
11,Red,no_legal_moves,79,30628.512,290.967
12,Red,no_legal_moves,63,23929.263,231.127
13,Black,long_check,249,100601.265,425.647
14,Black,long_check,83,32092.642,139.367
15,Red,no_legal_moves,39,14144.898,139.489
16,Red,no_legal_moves,25,8312.368,101.005
17,Red,no_legal_moves,67,26577.107,235.534
18,Red,no_legal_moves,65,24794.062,213.365
19,Red,no_legal_moves,47,18366.142,184.963
20,Red,no_legal_moves,49,18279.919,161.76
