game,winner,reason,plies,red_total_time_ms,black_total_time_ms
1,Black,no_legal_moves,34,100.497,13825.03
2,Black,no_legal_moves,100,254.019,40584.252
3,Black,no_legal_moves,80,166.585,32543.408
4,Black,no_legal_moves,90,145.542,36572.929
5,Black,no_legal_moves,44,181.7,17912.422
6,Black,no_legal_moves,64,253.218,26082.092
7,Black,no_legal_moves,64,117.923,26021.795
8,Black,no_legal_moves,72,166.239,29330.567
9,Black,no_legal_moves,52,120.013,21087.893
10,Black,no_legal_moves,80,214.972,32545.798
11,Black,no_legal_moves,78,182.64,31644.607
12,Black,no_legal_moves,86,182.952,34940.906
13,Black,no_legal_moves,88,210.131,35777.981
14,Black,no_legal_moves,54,124.814,21977.111
15,Black,no_legal_moves,24,80.42,9750.965
16,Black,no_legal_moves,34,120.85,13822.783
17,Black,no_legal_moves,68,173.727,27575.239
18,Black,no_legal_moves,90,297.153,36542.008
19,Black,no_legal_moves,38,88.971,15518.652
20,Black,no_legal_moves,66,151.867,26716.385
