game,winner,reason,plies,red_total_time_ms,black_total_time_ms
1,Black,no_legal_moves,78,321.223,56436.698
2,Black,no_legal_moves,66,320.668,47426.905
3,Black,no_legal_moves,30,137.281,19855.567
4,Black,no_legal_moves,98,232.901,73439.574
5,Black,no_legal_moves,68,330.326,49045.849
6,Black,no_legal_moves,98,314.83,72039.372
7,Black,no_legal_moves,64,264.833,45937.403
8,Black,no_legal_moves,78,323.475,56612.696
9,Black,no_legal_moves,96,396.807,70211.818
10,Black,no_legal_moves,142,280.42,105275.508
11,Black,no_legal_moves,48,170.439,33838.276
12,Black,no_legal_moves,90,266.064,65829.225
13,Black,no_legal_moves,50,136.35,35110.397
14,Black,no_legal_moves,22,127.187,13804.887
15,Black,no_legal_moves,26,90.7,16887.356
16,Black,no_legal_moves,70,254.807,50525.227
17,Black,no_legal_moves,58,250.527,41541.5
18,Black,no_legal_moves,86,271.056,62911.463
19,Black,no_legal_moves,118,414.939,88575.549
20,Black,no_legal_moves,22,96.068,13776.659
