game,winner,reason,plies,red_total_time_ms,black_total_time_ms
1,Black,no_legal_moves,92,412.99,38418.926
2,Black,no_legal_moves,48,203.053,19909.684
3,Red,long_check,170,214.832,70171.864
4,Black,no_legal_moves,52,229.593,21586.44
5,Black,no_legal_moves,80,292.063,33325.143
6,Black,no_legal_moves,120,431.009,49727.187
7,Black,no_legal_moves,78,229.511,32409.953
8,Red,long_check,74,235.89,30664.002
9,Black,no_legal_moves,94,315.015,39005.358
10,Black,no_legal_moves,132,269.749,54514.835
11,Black,no_legal_moves,70,223.32,28984.592
12,Black,no_legal_moves,84,284.087,34991.685
13,Black,no_legal_moves,38,106.984,15788.373
14,Black,no_legal_moves,142,248.922,58457.342
15,Black,no_legal_moves,64,202.897,26476.462
16,Black,no_legal_moves,102,221.127,42138.287
17,Black,no_legal_moves,94,371.801,39158.568
18,Black,no_legal_moves,70,351.482,29016.648
19,Black,no_legal_moves,54,147.837,22353.153
20,Red,long_check,100,285.786,41357.612
