game,winner,reason,plies,red_total_time_ms,black_total_time_ms
1,Red,no_legal_moves,43,15529.388,148.214
2,Red,no_legal_moves,45,16287.838,107.477
3,Red,no_legal_moves,91,34916.646,231.207
4,Red,no_legal_moves,27,8992.228,90.061
5,Red,no_legal_moves,19,5757.632,55.197
6,Red,no_legal_moves,53,20343.641,161.092
7,Red,no_legal_moves,53,19579.167,133.852
8,Red,no_legal_moves,43,15508.224,109.596
9,Red,no_legal_moves,65,24418.685,211.704
10,Red,no_legal_moves,95,37485.019,419.55
11,Red,no_legal_moves,19,5753.274,52.376
12,Red,no_legal_moves,29,9844.882,105.157
13,Red,no_legal_moves,67,26085.33,160.722
14,Red,no_legal_moves,63,24336.427,198.895
15,Red,no_legal_moves,37,13834.532,190.758
16,Red,no_legal_moves,97,37367.891,215.531
17,Red,no_legal_moves,105,40462.03,221.285
18,Red,no_legal_moves,57,21142.659,122.434
19,Red,no_legal_moves,45,16363.45,69.161
20,Red,no_legal_moves,41,14703.025,64.819
