game,winner,reason,plies,red_total_time_ms,black_total_time_ms
1,Red,no_legal_moves,95,68741.164,67907.894
2,Red,no_legal_moves,97,70492.758,69380.789
3,Draw,move_limit,300,222398.572,223018.071
4,Black,no_legal_moves,108,77287.151,78523.554
5,Red,no_legal_moves,119,87965.484,87421.024
6,Red,no_legal_moves,57,39954.119,39262.583
7,Red,no_legal_moves,133,97132.659,96700.351
8,Black,no_legal_moves,240,178486.071,179574.212
9,Red,no_legal_moves,97,70139.643,69459.166
10,Black,long_check,73,51639.576,51394.011
11,Black,no_legal_moves,144,104586.979,106057.031
12,Black,no_legal_moves,94,66717.477,68022.868
13,Draw,move_limit,300,222359.11,221680.21
14,Black,no_legal_moves,42,27486.777,28827.644
15,Black,no_legal_moves,134,97050.388,98114.056
16,Black,no_legal_moves,178,130574.26,131443.402
17,Red,no_legal_moves,189,141055.115,139955.903
18,Draw,move_limit,300,222152.488,219644.142
19,Draw,move_limit,300,137858.741,130120.207
20,Red,no_legal_moves,67,47381.48,46867.682
