game,winner,reason,plies,red_total_time_ms,black_total_time_ms
1,Red,long_check,140,20631.076,21663.566
2,Red,long_check,214,31679.316,32763.029
3,Black,no_legal_moves,64,8965.172,9679.978
4,Black,no_legal_moves,148,21707.029,22941.97
5,Red,no_legal_moves,65,9422.998,9678.308
6,Black,no_legal_moves,126,18630.302,19890.083
7,Black,no_legal_moves,44,6037.534,6784.645
8,Black,no_legal_moves,60,8335.36,9168.207
9,Black,no_legal_moves,86,12418.389,12999.0
10,Black,no_legal_moves,94,13754.8,14837.914
11,Black,no_legal_moves,78,11038.879,12014.703
12,Red,long_check,56,7833.712,8475.674
13,Black,no_legal_moves,54,7747.906,8505.602
14,Black,no_legal_moves,114,16903.831,18605.304
15,Black,no_legal_moves,60,8685.13,9405.771
16,Black,no_legal_moves,84,12011.209,13151.915
17,Black,no_legal_moves,148,21776.314,22810.024
18,Black,no_legal_moves,78,11174.989,12145.392
19,Black,no_legal_moves,52,7081.773,7923.283
20,Black,no_legal_moves,40,5270.255,5961.424
