game,winner,reason,plies,red_total_time_ms,black_total_time_ms
1,Red,no_legal_moves,47,6600.101,152.811
2,Red,no_legal_moves,99,14529.792,189.013
3,Red,no_legal_moves,95,13989.249,220.473
4,Red,no_legal_moves,89,13014.213,142.47
5,Red,no_legal_moves,87,12764.48,120.696
6,Red,no_legal_moves,89,13307.209,159.603
7,Red,no_legal_moves,121,17876.887,177.777
8,Red,no_legal_moves,73,10572.318,105.387
9,Red,no_legal_moves,53,7587.556,224.51
10,Red,no_legal_moves,111,16836.952,125.805
11,Red,no_legal_moves,19,2223.867,52.255
12,Red,no_legal_moves,127,19560.239,730.816
13,Red,no_legal_moves,51,7487.429,155.12
14,Red,no_legal_moves,145,21836.555,403.706
15,Red,no_legal_moves,73,10874.221,275.727
16,Red,no_legal_moves,85,12459.065,190.89
17,Red,no_legal_moves,79,11503.326,215.505
18,Red,no_legal_moves,37,5021.259,97.252
19,Red,no_legal_moves,29,3762.132,60.469
20,Red,no_legal_moves,69,10060.589,97.961
