game,winner,reason,plies,red_total_time_ms,black_total_time_ms
1,Red,no_legal_moves,43,33376.0,122.318
2,Red,no_legal_moves,35,27227.387,101.153
3,Red,no_legal_moves,47,36285.154,149.683
4,Red,no_legal_moves,51,39386.37,123.314
5,Red,no_legal_moves,43,33364.674,102.562
6,Red,no_legal_moves,27,21185.634,110.989
7,Red,no_legal_moves,69,53046.04,119.317
8,Red,no_legal_moves,75,57405.651,169.616
9,Red,no_legal_moves,49,37839.364,124.498
10,Red,no_legal_moves,101,77209.541,249.475
11,Red,no_legal_moves,61,46835.655,106.552
12,Red,no_legal_moves,43,33305.701,151.57
13,Red,no_legal_moves,13,10584.541,52.623
14,Red,no_legal_moves,33,25699.196,111.478
15,Red,no_legal_moves,59,45359.705,174.753
16,Red,no_legal_moves,51,39265.228,95.532
17,Red,no_legal_moves,43,33309.842,118.138
18,Red,no_legal_moves,65,49963.194,120.001
19,Red,no_legal_moves,47,36387.92,105.057
20,Red,no_legal_moves,13,10578.725,58.678
