game,winner,reason,plies,red_total_time_ms,black_total_time_ms
1,Red,no_legal_moves,45,34766.875,33415.423
2,Black,no_legal_moves,200,141739.842,142000.465
3,Red,no_legal_moves,65,49887.94,48754.448
4,Black,no_legal_moves,170,107197.979,109252.292
5,Black,no_legal_moves,136,102541.666,103408.491
6,Red,no_legal_moves,261,197679.769,196910.722
7,Red,no_legal_moves,97,73979.239,73197.342
8,Red,no_legal_moves,57,43781.457,42641.317
9,Red,no_legal_moves,211,132740.074,132179.808
10,Red,no_legal_moves,115,87683.062,86746.65
11,Black,no_legal_moves,68,51318.844,51911.843
12,Black,no_legal_moves,82,61830.796,62152.751
13,Red,long_check,58,43773.526,44189.582
14,Red,no_legal_moves,95,72504.885,71298.855
15,Black,no_legal_moves,194,141945.14,144019.718
16,Red,no_legal_moves,91,69653.39,68680.164
17,Black,no_legal_moves,60,45289.002,45652.992
18,Red,no_legal_moves,177,134422.406,132933.438
19,Black,no_legal_moves,148,111620.029,112215.612
20,Black,no_legal_moves,102,76887.258,77683.064
