game,winner,reason,plies,red_total_time_ms,black_total_time_ms
1,Red,no_legal_moves,71,11205.65,216.895
2,Red,no_legal_moves,57,8994.03,103.903
3,Red,no_legal_moves,105,16370.167,171.121
4,Red,no_legal_moves,79,12414.259,114.994
5,Red,no_legal_moves,85,13351.763,137.439
6,Red,no_legal_moves,103,16148.223,222.177
7,Red,no_legal_moves,39,6220.773,98.724
8,Red,no_legal_moves,85,13422.628,181.336
9,Red,no_legal_moves,53,8402.54,163.829
10,Red,no_legal_moves,91,14343.831,125.758
11,Red,no_legal_moves,77,12082.541,116.317
12,Red,no_legal_moves,39,6298.097,114.199
13,Red,no_legal_moves,41,6553.159,160.774
14,Red,no_legal_moves,49,7753.863,142.428
15,Red,no_legal_moves,39,6276.684,133.3
16,Red,no_legal_moves,65,10224.879,95.677
17,Red,no_legal_moves,99,15563.363,164.898
18,Red,no_legal_moves,43,6989.536,94.213
19,Red,no_legal_moves,123,19429.909,269.616
20,Red,no_legal_moves,17,2795.699,66.618
