game,winner,reason,plies,red_total_time_ms,black_total_time_ms
1,Red,no_legal_moves,85,13723.098,12935.788
2,Red,no_legal_moves,123,19850.158,18691.415
3,Black,long_check,69,11309.117,10543.303
4,Draw,move_limit,300,46387.775,45805.285
5,Red,no_legal_moves,77,12554.187,11704.269
6,Red,no_legal_moves,103,16466.67,15655.901
7,Draw,move_limit,300,46895.743,45744.51
8,Black,no_legal_moves,22,3512.401,3473.917
9,Black,no_legal_moves,32,5302.081,4965.555
10,Red,no_legal_moves,51,8492.071,7791.411
11,Red,no_legal_moves,53,8880.575,8109.462
12,Black,long_check,71,11757.59,11003.697
13,Red,no_legal_moves,83,13814.29,12598.837
14,Black,long_check,97,15626.891,14749.818
15,Red,no_legal_moves,35,5932.162,5284.081
16,Black,long_check,61,10114.018,9239.511
17,Black,long_check,119,19135.406,18127.971
18,Black,long_check,69,11218.277,10549.212
19,Black,long_check,91,14547.938,13720.85
20,Black,long_check,57,9389.725,8701.155
