game,winner,reason,plies,red_total_time_ms,black_total_time_ms
1,Red,no_legal_moves,39,26149.533,147.854
2,Red,no_legal_moves,103,75047.142,235.527
3,Red,no_legal_moves,135,99014.575,304.481
4,Red,no_legal_moves,163,120254.745,309.503
5,Red,no_legal_moves,91,67251.844,229.89
6,Red,no_legal_moves,91,65898.581,344.232
7,Red,no_legal_moves,119,86926.217,349.859
8,Black,long_check,231,173643.42,274.011
9,Red,no_legal_moves,65,45869.939,285.819
10,Red,no_legal_moves,81,57909.121,166.532
11,Black,long_check,87,62696.004,263.672
12,Red,no_legal_moves,25,15267.917,100.33
13,Red,no_legal_moves,59,41410.713,240.072
14,Red,no_legal_moves,75,53300.609,177.09
15,Red,no_legal_moves,75,53695.333,264.493
16,Red,no_legal_moves,75,53540.199,219.043
17,Red,no_legal_moves,101,75050.819,303.557
18,Red,no_legal_moves,67,47465.003,218.298
19,Black,long_check,87,64087.275,323.249
20,Red,no_legal_moves,27,16898.6,98.004
